cellLabels,Layer1,Layer2,Layer3,Layer4
cell1,0.0358780062722629,0.00400584678287729,0.00614388354768176,NaN
cell11,0.0263300855286967,0.00291509937874988,0.00286353315964588,0.00175679801808843
cell2,0.00553619382871239,0.0049252267562233,0.00247285547091461,0.00249938363533419
cell3,0.0242537949260857,0.00358628056088787,0.00194232109544822,NaN
cell6,0.0411755655646907,0.00465733247311651,0.00172108592502799,0.0047278289622642
cell8,0.0139603136010569,0.00740907428741842,0.00677154532068976,NaN
