cellLabels,Layer1,Layer2,Layer3,Layer4
cell1,0.0165687792338973,0.287916714406192,0.187036759531168,NaN
cell11,0.0586913808191562,0.36551407069011,0.36814042560073,0.483282345472069
cell2,0.254890710375394,0.281917503673713,0.446721452894386,0.44364339521278
cell3,0.0326633723794145,0.316411360203847,0.458386160849863,NaN
cell6,0.00761621493439254,0.297501659517495,0.523297968978726,0.291797695507304
cell8,0.274336965560686,0.242735967224531,0.263663071692581,NaN
