cellLabels,Layer1,Layer2,Layer3,Layer4
cell1,0.0552201032260589,0.0138683492007549,0.0210587923258809,NaN
cell11,0.043534704123397,0.00795920140640569,0.00983880671015834,0.0164704341392969
cell2,0.0329022722606419,0.0172701994841632,0.0018140955099579,0.00135315528012703
cell3,0.0385823169558671,0.00215006690288599,0.00528987032381962,NaN
cell6,0.0792169739724057,0.0127327559438461,0.00995211300473314,0.00662958814261263
cell8,0.0445312174566828,0.0189241620890752,0.00929796174420886,NaN
