cellLabels,Layer1,Layer2,Layer3,Layer4
cell1,0.0574307216351775,0.0374172265273004,0.0129777559594905,NaN
cell11,0.0689680203308959,0.0182991647194217,0.00771075580223816,0.00335132113825881
cell2,0.0482489504823542,0.00752396445320819,0.00297143797948189,0.00330914470459432
cell3,0.0346099633707078,0.01783593419007,0.00837645541170798,NaN
cell6,0.00236427639345549,0.00402857269746282,0.00192259913923316,0.00692996889072625
cell8,0.0384240503036611,0.00328656672057471,0.00336078527043028,NaN
