cellLabels,Layer1,Layer2,Layer3,Layer4
cell1,9.44639292488441e-05,3.30453228465688e-05,4.96501273268736e-06,NaN
cell11,0.00024813974296973,0.000153145709378372,7.92829139585756e-05,0.000112438890628022
cell2,0.345270533846569,0.0228826890103568,0.0128988071748214,0.00314396976455648
cell3,0.122171525968518,0.0174451583791,0.0221057454213174,NaN
cell6,0.409666625731196,0.348830084932282,0.244860403840317,0.116336030488826
cell8,0.046737281703729,0.0646789120255926,0.00323594965498747,NaN
