cellLabels,Layer1,Layer2,Layer3,Layer4
cell1,0.0231913861099634,0.00639077013165877,0.00366815639458981,NaN
cell11,0.0169083090290259,0.00638277042181177,0.00343775883226194,0.00101856702397832
cell2,0.00754065657330681,0.00656241336725292,0.00304913081089182,0.00403320234061762
cell3,0.0208948230043952,0.00590975520037282,0.00238003910768436,NaN
cell6,0.0411648300937118,0.00526786749466541,0.00304002801311709,0.00163481712254232
cell8,0.00421647425902832,0.00606258653598229,0.0070281581198472,NaN
